q0 q1 q2 q3 wx wy wz
  -0.184825     0.66798    0.501013    0.518294 -0.00570828   -0.110135     0.15144
  -0.185791    0.674651    0.496803    0.513337 -0.00640094   -0.110113     0.15143
  -0.186719    0.681268    0.492532    0.508352 -0.00709341   -0.110087    0.151419
  -0.187607    0.687831      0.4882    0.503341 -0.00778567   -0.110058    0.151407
 -0.188454    0.69434   0.483808   0.498304 -0.0084777  -0.110025   0.151395
  -0.189262    0.700792    0.479357    0.493241 -0.00916947   -0.109989    0.151382
   -0.19003    0.707189    0.474846    0.488153 -0.00986096    -0.10995    0.151368
 -0.190757   0.713529   0.470277    0.48304 -0.0105521  -0.109907   0.151354
-0.191443  0.719811  0.465651  0.477903 -0.011243  -0.10986  0.151339
 -0.192089   0.726036   0.460966   0.472741 -0.0119335   -0.10981   0.151323
 -0.192693   0.732201   0.456226   0.467556 -0.0126236  -0.109756   0.151306
 -0.193256   0.738308   0.451429   0.462348 -0.0133133  -0.109699   0.151289
 -0.193777   0.744355   0.446577   0.457117 -0.0140025  -0.109639   0.151272
 -0.194257   0.750341    0.44167   0.451863 -0.0146913  -0.109575   0.151253
 -0.194694   0.756267   0.436708   0.446588 -0.0153797  -0.109508   0.151234
  -0.19509    0.76213   0.431693   0.441291 -0.0160675  -0.109437   0.151214
 -0.195444   0.767932   0.426625   0.435974 -0.0167548  -0.109362   0.151193
 -0.195755   0.773671   0.421505   0.430636 -0.0174415  -0.109285   0.151172
 -0.196023   0.779346   0.416333   0.425278 -0.0181276  -0.109203    0.15115
 -0.196249   0.784958    0.41111     0.4199 -0.0188132  -0.109119   0.151128
 -0.196432   0.790506   0.405836   0.414503 -0.0194981  -0.109031   0.151105
 -0.196572   0.795988   0.400513   0.409087 -0.0201824  -0.108939   0.151081
-0.196669  0.801405  0.395141  0.403653 -0.020866 -0.108844  0.151056
 -0.196722   0.806756    0.38972     0.3982 -0.0215488  -0.108746   0.151031
-0.196732   0.81204  0.384251  0.392731 -0.022231 -0.108644  0.151005
 -0.196699   0.817258   0.378736   0.387245 -0.0229124  -0.108539   0.150979
 -0.196622   0.822408   0.373174   0.381742 -0.0235931   -0.10843   0.150952
 -0.196501   0.827489   0.367566   0.376223 -0.0242729  -0.108318   0.150924
 -0.196337   0.832503   0.361913   0.370688 -0.0249519  -0.108203   0.150895
 -0.196128   0.837447   0.356217   0.365138 -0.0256301  -0.108084   0.150866
 -0.195876   0.842322   0.350476   0.359574 -0.0263074  -0.107961   0.150836
 -0.195579   0.847126   0.344693   0.353995 -0.0269839  -0.107836   0.150806
 -0.195238   0.851861   0.338867   0.348403 -0.0276594  -0.107707   0.150775
 -0.194853   0.856524      0.333   0.342797 -0.0283339  -0.107575   0.150743
 -0.194424   0.861116   0.327092   0.337178 -0.0290075  -0.107439   0.150711
  -0.19395   0.865636   0.321145   0.331547 -0.0296802    -0.1073   0.150678
 -0.193432   0.870084   0.315158   0.325904 -0.0303518  -0.107157   0.150645
 -0.192869   0.874459   0.309132   0.320249 -0.0310224  -0.107012   0.150611
 -0.192262   0.878761   0.303069   0.314584 -0.0316919  -0.106863   0.150576
  -0.19161    0.88299   0.296969   0.308908 -0.0323603   -0.10671   0.150541
 -0.190914   0.887144   0.290832   0.303222 -0.0330277  -0.106554   0.150505
 -0.190173   0.891225    0.28466   0.297526 -0.0336939  -0.106395   0.150468
-0.189387   0.89523  0.278453   0.29182 -0.034359 -0.106233  0.150431
 -0.188557    0.89916   0.272213   0.286107 -0.0350229  -0.106067   0.150393
 -0.187682   0.903015   0.265939   0.280385 -0.0356856  -0.105899   0.150355
 -0.186762   0.906794   0.259632   0.274655 -0.0363471  -0.105726   0.150316
 -0.185798   0.910497   0.253294   0.268917 -0.0370074  -0.105551   0.150277
 -0.184789   0.914123   0.246925   0.263173 -0.0376664  -0.105372   0.150237
 -0.183735   0.917672   0.240525   0.257423 -0.0383242   -0.10519   0.150196
 -0.182637   0.921144   0.234096   0.251666 -0.0389806  -0.105005   0.150155
 -0.181494   0.924538   0.227639   0.245904 -0.0396357  -0.104817   0.150113
 -0.180307   0.927855   0.221154   0.240137 -0.0402895  -0.104625   0.150071
 -0.179074   0.931093   0.214642   0.234366 -0.0409419   -0.10443   0.150028
 -0.177798   0.934252   0.208104    0.22859 -0.0415929  -0.104232   0.149984
 -0.176477   0.937333    0.20154   0.222811 -0.0422425  -0.104031    0.14994
 -0.175112   0.940334   0.194951   0.217029 -0.0428907  -0.103826   0.149896
 -0.173702   0.943256   0.188339   0.211243 -0.0435374  -0.103619   0.149851
 -0.172248   0.946098   0.181704   0.205456 -0.0441826  -0.103408   0.149805
  -0.17075   0.948861   0.175046   0.199667 -0.0448264  -0.103194   0.149759
 -0.169208   0.951543   0.168367   0.193876 -0.0454686  -0.102977   0.149713
 -0.167622   0.954144   0.161668   0.188085 -0.0461093  -0.102757   0.149666
 -0.165991   0.956665   0.154949   0.182293 -0.0467484  -0.102533   0.149618
-0.164317  0.959104   0.14821  0.176501 -0.047386 -0.102307   0.14957
  -0.1626  0.961463  0.141454   0.17071 -0.048022 -0.102077  0.149521
 -0.160838    0.96374    0.13468   0.164919 -0.0486563  -0.101844   0.149472
-0.159033  0.965935   0.12789   0.15913 -0.049289 -0.101609  0.149423
 -0.157185   0.968048   0.121083   0.153343 -0.0499201   -0.10137   0.149372
 -0.155294    0.97008   0.114262   0.147559 -0.0505494  -0.101128   0.149322
 -0.153359   0.972029   0.107427   0.141777 -0.0511771  -0.100883   0.149271
 -0.151381   0.973895   0.100579   0.135998 -0.0518031  -0.100635   0.149219
