q0 q1 q2 q3 wx wy wz
-0.779793  0.530872 -0.331163 0.0207209  0.150809  0.130735 0.0959949
-0.781576  0.528609  -0.33101 0.0119762  0.151311   0.13025 0.0958179
 -0.783227   0.526441  -0.330765 0.00309455   0.151809   0.129763  0.0956409
  -0.784783    0.524224   -0.330564 -0.00567123    0.152304    0.129276   0.0954641
 -0.786305    0.52193  -0.330309 -0.0144439   0.152797   0.128789  0.0952872
 -0.787639   0.519679  -0.330173 -0.0233167   0.153287     0.1283  0.0951105
 -0.788921   0.517467  -0.329842 -0.0321768   0.153774   0.127811  0.0949338
 -0.790127   0.515161  -0.329585 -0.0410077   0.154258   0.127321  0.0947572
 -0.791274   0.512874  -0.329185 -0.0498331   0.154739   0.126831  0.0945806
 -0.792332   0.510538  -0.328811 -0.0586809   0.155218    0.12634  0.0944042
 -0.793337   0.508173  -0.328349 -0.0675613   0.155694   0.125848  0.0942278
 -0.794211   0.505826  -0.327892 -0.0765186   0.156167   0.125356  0.0940515
 -0.795014    0.50343  -0.327434 -0.0854242   0.156638   0.124863  0.0938753
-0.795696  0.501072 -0.326951 -0.094331  0.157105  0.124369 0.0936993
-0.796286  0.498755 -0.326393 -0.103153   0.15757  0.123875 0.0935233
-0.796784  0.496408 -0.325812 -0.112072  0.158033   0.12338 0.0933474
-0.797244  0.493965 -0.325203 -0.121008  0.158492  0.122885 0.0931717
-0.797585  0.491559 -0.324632 -0.129776  0.158949  0.122389 0.0929961
-0.797825   0.48912  -0.32405 -0.138666  0.159404  0.121893 0.0928206
-0.797992  0.486701 -0.323339 -0.147588  0.159855  0.121396 0.0926452
-0.798103  0.484201 -0.322622  -0.15651  0.160304  0.120898   0.09247
-0.798168  0.481694 -0.321799 -0.165361  0.160751    0.1204 0.0922949
-0.798098  0.479223 -0.320973 -0.174246  0.161195  0.119902   0.09212
-0.797947  0.476747 -0.320097 -0.183115  0.161636  0.119403 0.0919452
-0.797753   0.47417 -0.319215 -0.191975  0.162074  0.118903 0.0917706
-0.797433  0.471561 -0.318362  -0.20094   0.16251  0.118404 0.0915961
 -0.79702  0.469012 -0.317431 -0.209818  0.162943  0.117903 0.0914218
-0.796505  0.466459 -0.316437 -0.218777  0.163374  0.117402 0.0912476
 -0.79594  0.463913 -0.315427 -0.227529  0.163802  0.116901 0.0910736
-0.795241  0.461375 -0.314409 -0.236372  0.164228    0.1164 0.0908998
-0.794472  0.458795 -0.313367 -0.245199  0.164651  0.115897 0.0907261
-0.793663  0.456136 -0.312243 -0.254053  0.165072  0.115395 0.0905527
-0.792751  0.453555 -0.311079 -0.262801   0.16549  0.114892 0.0903794
-0.791772  0.450858 -0.309904 -0.271631  0.165906  0.114389 0.0902063
-0.790664  0.448212 -0.308746 -0.280414  0.166319  0.113885 0.0900334
-0.789495  0.445542 -0.307491 -0.289203  0.166729  0.113381 0.0898608
-0.788204   0.44291 -0.306221 -0.297985  0.167137  0.112877 0.0896883
-0.786861   0.44025 -0.304861 -0.306741  0.167543  0.112373  0.089516
-0.785384  0.437578 -0.303556 -0.315516  0.167946  0.111868 0.0893439
-0.783856  0.434893 -0.302206 -0.324207  0.168347  0.111362  0.089172
